Gens;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations
76;18434,66667;2499,892975;1140000;21770;1886,646054;1140000;18688;1942,504226;1140000;22033,33333;1473,167411;1140000
77;18469,33333;2453,404347;1155000;21803,33333;1879,269953;1155000;18850,66667;1938,134728;1155000;22070;1453,535919;1155000
78;18536;2435,933223;1170000;21840;1876,095236;1170000;18945,33333;1948,831673;1170000;22083,33333;1453,291284;1170000
79;18622,66667;2378,098587;1185000;21883,33333;1861,555503;1185000;19001,33333;1947,13419;1185000;22133,33333;1454,036527;1185000
80;18689,33333;2373,945988;1200000;21900;1866,547615;1200000;19064;1930,709023;1200000;22153,33333;1463,268791;1200000
81;18752;2399,297675;1215000;21933,33333;1869,640488;1215000;19150,66667;1909,441338;1215000;22180;1444,391452;1215000
82;18824;2390,974139;1230000;21973,33333;1883,955649;1230000;19197,33333;1953,183612;1230000;22200;1418,919777;1230000
83;18890,66667;2365,089052;1245000;22010;1900,412236;1245000;19262,66667;1936,1662;1245000;22216,66667;1409,74781;1245000
84;18929,33333;2365,122877;1260000;22020;1903,400466;1260000;19314,66667;1944,064014;1260000;22233,33333;1404,358296;1260000
85;18950,66667;2351,984883;1275000;22043,33333;1911,837394;1275000;19336;1946,66484;1275000;22266,66667;1365,121077;1275000
86;19033,33333;2345,795293;1290000;22053,33333;1914,981868;1290000;19365,33333;1964,314526;1290000;22313,33333;1359,591442;1290000
87;19101,33333;2358,558505;1305000;22086,66667;1924,878063;1305000;19416;1961,770629;1305000;22340;1360,539109;1305000
88;19134,66667;2349,496022;1320000;22106,66667;1927,162566;1320000;19456;1957,565835;1320000;22386,66667;1352,955612;1320000
89;19164;2346,721969;1335000;22120;1934,149253;1335000;19489,33333;1953,361092;1335000;22403,33333;1349,934155;1335000
90;19240;2282,104292;1350000;22140;1937,455376;1350000;19526,66667;1951,364195;1350000;22430;1354,289482;1350000
91;19314,66667;2232,289906;1365000;22153,33333;1944,862177;1365000;19592;1913,792744;1365000;22440;1347,738847;1365000
92;19372;2177,678274;1380000;22160;1946,552508;1380000;19637,33333;1886,214787;1380000;22450;1349,259056;1380000
93;19461,33333;2035,543717;1395000;22173,33333;1947,636745;1395000;19682,66667;1850,360205;1395000;22473,33333;1356,203852;1395000
94;19526,66667;1972,97294;1410000;22176,66667;1935,404063;1410000;19744;1849,918196;1410000;22490;1355,568761;1410000
95;19624;1908,356361;1425000;22183,33333;1938,742433;1425000;19789,33333;1823,372212;1425000;22503,33333;1361,490197;1425000
96;19653,33333;1892,957709;1440000;22203,33333;1944,305074;1440000;19848;1787,762848;1440000;22506,66667;1361,600366;1440000
97;19673,33333;1887,031767;1455000;22206,66667;1945,75321;1455000;19898,66667;1765,407853;1455000;22516,66667;1363,349633;1455000
98;19728;1880,110635;1470000;22230;1948,52936;1470000;19965,33333;1739,309697;1470000;22540;1363,231455;1470000
99;19792;1850,171884;1485000;22253,33333;1950,509905;1485000;19998,66667;1713,9812;1485000;22556,66667;1351,957429;1485000
100;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20052;1703,514798;1500000;22580;1338,257574;1500000
101;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20114,66667;1686,471135;1515000;22586,66667;1339,834152;1515000
102;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20162,66667;1666,195133;1530000;22613,33333;1333,35;1530000
103;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20198,66667;1669,929606;1545000;22623,33333;1320,77839;1545000
104;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20228;1674,240923;1560000;22633,33333;1322,203548;1560000
105;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20278,66667;1670,871496;1575000;22670;1288,707363;1575000
106;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20332;1604,756264;1590000;22686,66667;1291,441916;1590000
107;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20380;1569,373548;1605000;22700;1294,604187;1605000
108;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20476;1563,998295;1620000;22710;1293,148612;1620000
109;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20501,33333;1570,094972;1635000;22713,33333;1293,762815;1635000
110;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20526,66667;1579,310679;1650000;22726,66667;1297,159289;1650000
111;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20550,66667;1579,398479;1665000;22740;1303,738215;1665000
112;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20581,33333;1575,029594;1680000;22746,66667;1307,091768;1680000
113;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20610,66667;1545,796307;1695000;22746,66667;1307,091768;1695000
114;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20642,66667;1520,979801;1710000;22753,33333;1307,601706;1710000
115;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20660;1514,199458;1725000;22800;1258,570618;1725000
116;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20682,66667;1518,979775;1740000;22803,33333;1260,286564;1740000
117;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20693,33333;1513,700396;1755000;22816,66667;1258,592689;1755000
118;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20712;1510,669609;1770000;22816,66667;1258,592689;1770000
119;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20772;1509,398114;1785000;22826,66667;1256,432339;1785000
120;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20798,66667;1480,584869;1800000;22830;1256,48982;1800000
121;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20817,33333;1491,07329;1815000;22833,33333;1256,803706;1815000
122;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20845,33333;1481,8271;1830000;22840;1258,729518;1830000
123;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20874,66667;1485,493708;1845000;22850;1256,11836;1845000
124;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20932;1490,428126;1860000;22856,66667;1255,038733;1860000
